gene_id,Pact19_S118_R1.gtf,Pact20_S119_R1.gtf,Pact21_S120_R1.gtf,Pact29_S121_R1.gtf,Pact30_S122_R1.gtf,Pact31_S123_R1.gtf,Pact39_S124_R1.gtf,Pact40_S125_R1.gtf,Pact41_S126_R1.gtf,Pact49_S127_R1.gtf,Pact50_S128_R1.gtf,Pact51_S129_R1.gtf,Pact59_S130_R1.gtf,Pact60_S131_R1.gtf,Pact66_S132_R1.gtf,Pact67_S133_R1.gtf,Pact68_S134_R1.gtf,Pact69_S135_R1.gtf
STRG.6542,47,32,25,43,17,32,27,20,25,14,11,26,24,17,19,21,27,15
STRG.6543,3,7,4,3,0,0,0,1,2,5,0,1,5,3,3,1,4,0
Pocillopora_acuta_HIv1_PredGene_g3818.t1,0,4,0,3,0,1,0,0,0,2,0,1,0,2,1,1,1,0
STRG.6549,173,128,92,115,142,114,124,131,142,134,128,101,181,104,117,129,133,70
STRG.2434,21,0,24,9,15,0,11,10,18,18,15,19,13,0,8,10,0,0
STRG.2435,30,27,34,23,24,26,25,25,19,25,16,30,23,24,20,17,29,28
Pocillopora_acuta_HIv1_PredGene_g8923.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.2437,22,25,27,24,0,47,21,24,31,29,24,21,35,29,0,20,27,0
Pocillopora_acuta_HIv1_PredGene_g7164.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.2431,47,44,49,41,61,40,50,57,48,54,66,58,58,58,69,86,69,41
STRG.2432,8,10,8,13,18,9,0,0,8,0,5,0,8,9,10,13,6,8
Pocillopora_acuta_HIv1_PredGene_g29069.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Pocillopora_acuta_HIv1_PredGene_2409_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g22795.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.2438,13,0,9,4,15,11,11,10,11,6,14,17,12,9,7,12,7,6
Pocillopora_acuta_HIv1_PredGene_g5976.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g32240.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g11599.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_11242_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g13467.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10107.t1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g5974.t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g5974.t3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g21722.t1,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g11101.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g32261.t1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Pocillopora_acuta_HIv1_PredGene_g10433.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g20742.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g8601.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g24904.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_27329_t,0,0,0,0,0,0,10,12,11,0,0,0,6,0,0,0,0,0
STRG.2967,1,4,4,5,2,9,0,0,3,3,1,3,6,0,4,4,3,2
Pocillopora_acuta_HIv1_PredGene_g14096.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g1640.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.2965,8,12,8,12,3,8,11,6,3,5,14,5,11,6,17,16,16,13
Pocillopora_acuta_HIv1_PredGene_g32542.t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g32542.t1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g2583.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
STRG.1017,4,6,8,0,11,11,0,0,5,0,0,9,0,0,11,10,7,0
STRG.1016,21,14,14,14,16,22,13,12,12,16,7,10,40,13,9,26,16,9
STRG.1015,23,20,17,22,8,29,24,13,16,17,12,14,20,20,19,22,15,14
STRG.1014,46,30,34,44,48,47,30,45,43,33,41,17,44,31,38,30,45,34
STRG.1013,22,9,18,14,8,18,31,0,26,24,20,28,18,16,18,18,0,14
STRG.2960,14,9,17,12,12,12,12,14,16,13,13,11,16,10,6,8,10,8
STRG.1011,9,6,15,9,21,12,6,0,10,6,9,12,12,9,20,14,6,12
STRG.1010,50,26,40,28,27,18,28,33,37,32,18,25,29,40,18,12,20,25
Pocillopora_acuta_HIv1_PredGene_g10105.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.10590,2,0,3,0,1,0,3,3,2,2,3,0,1,2,0,1,1,0
STRG.1019,121,57,114,88,103,73,60,88,84,106,85,98,78,68,64,50,57,45
STRG.1018,27,37,15,22,16,26,19,29,30,39,14,21,44,30,21,24,44,18
Pocillopora_acuta_HIv1_PredGene_g7984.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g24906.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g24740.t1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,3,0,0
Pocillopora_acuta_HIv1_PredGene_g4074.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g19966.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g9411.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.9127,13,8,17,13,16,11,13,2,14,5,7,8,10,5,3,9,9,10
STRG.9883,10,3,0,5,4,4,3,0,0,0,0,4,14,9,4,7,14,3
Pocillopora_acuta_HIv1_PredGene_g14545.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g13784.t1,0,7,0,8,0,4,7,8,0,0,0,0,16,0,0,8,9,8
Pocillopora_acuta_HIv1_PredGene_g23800.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g29470.t1,0,0,0,0,0,0,0,2,0,4,0,0,3,0,0,0,0,0
STRG.9124,7,0,0,4,0,3,0,3,0,3,4,0,5,0,0,0,3,0
Pocillopora_acuta_HIv1_PredGene_g20359.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g27257.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g26716.t1,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g4948.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g15372.t1,0,0,0,6,0,0,0,0,7,0,2,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g32540.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g2195.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g32601.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10882.t1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g17738.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g15892.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g12110.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g4969.t1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g21238.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g7150.t1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0
Pocillopora_acuta_HIv1_PredGene_g19964.t1,0,12,18,13,12,0,16,11,0,17,17,9,18,0,29,14,25,0
Pocillopora_acuta_HIv1_PredGene_g23000.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g9413.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g10414.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_11360_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g6135.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g22890.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g22111.t1,0,0,0,13,0,11,6,0,13,5,0,9,0,0,0,11,0,0
Pocillopora_acuta_HIv1_PredGene_g2197.t1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g16367.t1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
STRG.6541,3,0,0,6,0,5,6,0,0,0,0,7,0,0,6,11,0,0
STRG.6841,12,12,0,15,0,17,0,0,0,0,0,0,10,0,8,13,13,7
STRG.6840,29,18,30,27,28,30,26,30,18,14,24,23,20,31,13,19,17,23
STRG.6843,22,29,11,21,13,29,0,0,0,16,21,15,38,16,16,14,18,10
STRG.6842,37,14,28,22,28,28,27,22,18,12,12,11,22,18,22,19,24,15
STRG.6845,3694,1871,2787,1987,2106,2158,3093,2404,3160,1929,1731,1331,1702,1527,1140,1307,1481,1214
STRG.6844,11,0,0,0,0,0,0,0,6,0,0,0,0,6,0,3,0,0
STRG.6847,33,83,33,73,29,95,15,27,17,29,31,20,65,24,44,63,57,50
STRG.6846,1153,691,1033,656,1045,746,1227,851,1004,1058,1126,878,997,1023,1066,1221,1176,870
STRG.6849,50,17,38,41,48,56,38,44,45,38,47,51,37,23,34,35,32,31
STRG.6848,7,116,11,166,9,167,20,20,20,19,0,24,105,51,103,115,86,64
Pocillopora_acuta_HIv1_PredGene_g9756.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.4991,4,2,3,4,4,0,3,6,3,3,5,4,3,2,2,3,3,3
STRG.4990,2,0,0,2,2,2,2,0,3,0,2,0,0,2,2,0,4,2
Pocillopora_acuta_HIv1_PredGene_g15890.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.4992,5,0,0,4,0,6,0,0,7,5,3,5,5,0,0,0,0,0
STRG.4995,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
STRG.4994,1,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,2,0
STRG.4997,23,9,21,12,20,17,14,6,14,14,0,8,0,9,22,19,14,0
STRG.4996,6,5,8,8,13,11,8,11,0,9,10,5,7,6,4,7,5,5
STRG.4999,8,0,6,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0
STRG.4998,47,9,45,18,40,33,42,33,54,23,31,34,19,14,22,22,16,10
Pocillopora_acuta_HIv1_PredGene_g1502.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g5569.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g5569.t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g7275.t1,0,175,24,270,0,340,0,0,30,0,16,33,104,58,215,152,177,109
STRG.257,23,10,21,12,25,22,0,10,6,19,10,0,15,9,18,10,13,8
STRG.256,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
STRG.255,5,0,0,0,3,4,4,0,4,0,0,0,0,0,0,0,0,0
STRG.254,17,8,10,7,11,7,16,13,0,21,6,10,8,0,0,12,19,0
Pocillopora_acuta_HIv1_PredGene_g3968.t1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
STRG.252,19,10,0,16,21,9,0,9,16,19,12,0,9,0,0,13,0,0
STRG.251,3,3,0,6,0,4,0,0,0,0,5,4,0,0,9,9,9,5
STRG.250,34,14,28,33,26,43,0,19,30,25,20,19,19,19,11,31,35,17
Pocillopora_acuta_HIv1_PredGene_g10356.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.6548,228,231,201,227,211,240,265,221,233,228,167,163,288,242,235,239,277,216
Pocillopora_acuta_HIv1_PredGene_g19662.t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.258,12,3,8,0,9,16,4,5,0,0,8,4,4,10,12,7,0,5
Pocillopora_acuta_HIv1_PredGene_g23251.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g23002.t1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g18907.t1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g657.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g24273.t1,0,0,0,5,0,0,0,4,0,0,0,6,0,0,0,18,0,0
Pocillopora_acuta_HIv1_PredGene_g1500.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g6818.t1,0,1,1,1,1,3,2,2,2,2,1,1,2,2,2,1,2,1
Pocillopora_acuta_HIv1_PredGene_11824_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.10338,6,8,0,9,0,8,0,0,10,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g26958.t1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
STRG.10333,65,26,21,24,39,30,43,29,49,48,45,44,31,38,34,7,28,17
Pocillopora_acuta_HIv1_PredGene_g8485.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.10331,1,0,0,0,1,1,2,1,2,1,5,1,1,1,2,2,2,1
Pocillopora_acuta_HIv1_PredGene_3827_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g17490.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g7038.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g20740.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.10334,5,2,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g29208.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g32053.t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.2430,25,9,23,19,24,17,18,16,25,18,20,16,13,0,8,14,16,10
Pocillopora_acuta_HIv1_PredGene_g9596.t1,0,0,6,6,5,8,11,5,8,3,4,5,4,0,3,6,10,0
Pocillopora_acuta_HIv1_PredGene_g16758.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g13128.t1,0,0,7,0,6,0,6,5,0,8,0,0,0,0,0,6,0,0
Pocillopora_acuta_HIv1_PredGene_g23253.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_11560_t,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g28088.t1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g9754.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g29229.t1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pocillopora_acuta_HIv1_PredGene_g25692.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g26796.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g13508.t1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g28596.t1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.3509,17,10,14,14,24,21,25,17,17,29,22,15,23,16,4,11,26,20
STRG.3508,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
STRG.3507,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,2
STRG.3506,4,0,0,6,0,6,0,4,4,4,0,0,0,0,0,0,4,0
Pocillopora_acuta_HIv1_PredGene_21852_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.3504,27,7,14,33,30,22,23,25,22,26,32,20,21,16,22,21,22,22
Pocillopora_acuta_HIv1_PredGene_g28724.t1,0,0,17,5,12,0,0,29,0,9,0,0,0,0,3,0,0,13
STRG.3502,43,11,24,0,27,18,15,19,22,20,33,0,20,21,18,15,17,13
STRG.3501,2,0,5,2,4,2,2,3,4,3,4,2,3,0,0,5,3,0
STRG.2439,30,24,20,15,26,0,0,21,0,23,26,17,0,0,0,0,0,16
Pocillopora_acuta_HIv1_PredGene_g19461.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g12449.t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_20356_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g25690.t1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g20157.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g26794.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.7086,8,0,0,0,11,4,0,8,15,11,6,4,9,4,6,5,7,5
STRG.7087,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0
Pocillopora_acuta_HIv1_PredGene_g17492.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.7085,2,5,12,5,0,4,12,5,7,7,6,0,7,6,2,0,0,0
STRG.7082,111,202,137,303,234,390,91,81,84,196,185,284,223,130,789,512,292,341
Pocillopora_acuta_HIv1_PredGene_g9239.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g11267.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.7081,12,0,0,10,0,0,0,4,0,5,6,0,0,0,0,0,5,0
Pocillopora_acuta_HIv1_PredGene_g13289.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Pocillopora_acuta_HIv1_PredGene_g13289.t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g30309.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.7089,3,3,3,3,2,4,3,1,5,3,2,2,3,3,3,1,3,3
Pocillopora_acuta_HIv1_PredGene_g11171.t1,0,0,4,0,3,0,4,0,5,0,4,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g17976.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Pocillopora_acuta_HIv1_PredGene_g17704.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g20172.t1,0,0,6,10,0,12,0,7,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g17704.t2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g14169.t1,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
STRG.1867,5,0,4,3,1,8,3,10,2,4,2,1,2,3,1,0,2,3
STRG.1864,59,30,56,27,34,46,51,32,27,36,31,28,39,16,23,35,24,20
STRG.1865,54,49,69,57,78,76,64,78,73,70,65,41,39,44,39,37,48,33
Pocillopora_acuta_HIv1_PredGene_14032_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g22125.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.1860,11,0,4,0,0,0,0,3,0,4,0,0,0,0,0,0,0,6
STRG.1861,62,54,48,62,54,44,51,34,47,56,57,43,32,36,20,30,41,21
Pocillopora_acuta_HIv1_PredGene_g19319.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_g1726.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.1869,7,2,7,1,8,0,8,4,5,11,7,5,0,3,2,0,4,3
STRG.8508,50,7,29,20,31,26,39,26,38,26,31,25,0,23,0,9,12,0
Pocillopora_acuta_HIv1_PredGene_g5549.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRG.7338,269,233,142,219,154,262,136,135,210,163,173,163,284,175,174,269,252,152
Pocillopora_acuta_HIv1_PredGene_g25728.t1,0,3,8,6,5,8,0,10,0,4,8,11,8,0,7,10,4,6
Pocillopora_acuta_HIv1_PredGene_g26984.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv1_PredGene_16298_t,0,7,0,11,0,0,0,6,7,0,0,0,0,7,0,2,0,0
STRG.8503,18,0,0,0,16,17,0,7,14,0,0,9,0,8,0,0,0,0
STRG.8500,28,0,14,15,14,11,18,16,22,17,14,10,9,11,10,0,12,10
Pocillopora_acuta_HIv1_PredGene_g22323.t1,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0
STRG.8506,17,22,21,21,22,23,26,18,0,26,22,19,42,20,0,32,32,24
STRG.8507,2,0,0,0,2,0,0,1,0,0,0,0,1,0,1,1,1,0
Pocillopora_acuta_HIv1_PredGene_g16824.t1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
